,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
123,autoland,firefox,XqyhSxJ_TF2p7HbfFjO7CA,75474,1546607138,push,19.44,3.12,431,117
124,autoland,firefox,CWJcg2uRQMahKGbHfIcY_A,75475,1546608147,push,63.93,3.56,2007,95
125,autoland,firefox,H3WPqqeNSxyqRMEGuPDHrQ,75476,1546608346,push,17.32,2.33,250,28
126,autoland,firefox,Ty5re90TRjSLkM_RyTRHWQ,75477,1546608420,push,17.51,2.61,250,28
127,autoland,firefox,LO9DrkWPTCGN0eVkGaelFA,75479,1546609329,push,17.26,2.71,289,62
128,autoland,firefox,fgUcv0ynSSeB6JQYKVXURA,75480,1546610023,push,64.18,3.9,2055,128
129,autoland,firefox,aF-qFwlTQh63n8GKzV9FPA,75481,1546610854,push,16.51,2.05,253,28
130,autoland,firefox,JgEWDeYnRfmHgk3ilJBVqQ,75482,1546615954,push,35.68,3.43,2025,95
131,autoland,firefox,Lvp0BuPGRdSq4oLHmAxoJA,75483,1546616367,push,12.26,2.5,253,28
132,autoland,firefox,e7ykXS5LRI-xtAv3RqlnEw,75484,1546617768,push,11.97,2.2,250,28
133,autoland,firefox,JKiccxAtRn-aeAOZQkLw_A,75485,1546618494,push,46.76,3.8,2276,148
134,autoland,firefox,bt0cnM2tS3m4aK9QFBe1Pw,75486,1546618660,push,13.47,2.25,250,25
135,autoland,firefox,Y8GME4uaSmmpa9HtQ1qTsQ,75487,1546618751,push,13.56,2.39,250,25
136,autoland,firefox,N8XmGCqnSwSlpPoIHQJ_cQ,75488,1546619436,push,22.4,2.71,270,29
137,autoland,firefox,M1RMV0ZUT5qFjhpNAafFbQ,75489,1546619640,push,33.5,3.27,522,82
138,autoland,firefox,WKsU-vAKS2OE7vVsXgWO8g,75490,1546619744,push,66.79,4.45,2064,129
139,autoland,firefox,PvgFZ95CQy-2xdu0EeAMvw,75491,1546620026,push,17.83,2.49,251,26
140,autoland,firefox,LUPWSTJoTLmdBUWflhs5bQ,75492,1546621249,push,32.11,2.99,520,82
141,autoland,firefox,Gd78cTXIQxmzlSe10GyMhA,75494,1546623475,push,17.41,2.7,297,63
142,autoland,firefox,cblCfHOnR0qYvHeFeCHoXg,75495,1546624159,push,77.61,3.58,2238,113
143,autoland,firefox,YMmeATDNQCipMNToG9VW8g,75496,1546624635,push,16.64,2.36,253,27
144,autoland,firefox,EfBPKU5EQ5ayWoxCS_34qA,75497,1546624915,push,16.36,2.23,264,29
145,autoland,firefox,ezgggIz5S5-mK2IW_SPUnQ,75498,1546625370,push,16.54,2.01,252,26
146,autoland,firefox,QR01C1DuTseD-QJROgeA3g,75499,1546626307,push,18.74,2.78,310,60
147,autoland,firefox,Ui5Fw0IZTO-0ulHGulsaQQ,75500,1546627228,push,66.18,3.5,2047,92
148,autoland,firefox,I71ZL1PuS_KCfTVVysKcWw,75501,1546629840,push,16.87,2.15,250,25
149,autoland,firefox,NlftTBmpQFqC_R0V8yEYkA,75502,1546630383,push,17.8,3.37,298,73
150,autoland,firefox,b38bFVxHQoKVw97CMdpmRg,75503,1546630706,push,17.48,2.51,250,28
151,autoland,firefox,A18fzp7YR4qNmVJD10mQqQ,75504,1546632659,push,17.07,2.3,252,27
152,autoland,firefox,Nc-aiaFUSb-DHjzPyPayCg,75505,1546633184,push,64.5,4.01,2040,126
153,autoland,firefox,ckMhnaftQb-bmWVT6ePoyg,75506,1546633835,push,17.4,2.75,287,60
154,autoland,firefox,T2kO3A_pQQyZhxIhd6Ljig,75507,1546641442,push,74.54,4.08,2252,146
155,autoland,firefox,Tsg2xOYrR9SAg8SrI9zZLg,75508,1546646848,push,66.86,4.25,2073,126
156,autoland,firefox,KLRc7SXmSUS1X18KTtNgtg,75509,1546648447,push,19.6,3.24,284,60
157,autoland,firefox,LyCHQzl3QW2YMKi9KnoSCA,75510,1546654043,push,65.67,4.28,2045,127
158,autoland,firefox,Qt3jw4xzQkGTW989uIFXnA,75511,1546656535,push,17.94,2.45,251,29
159,autoland,firefox,Y39ai65vRnSX1WoeR_8emA,75512,1546660304,push,65.66,4.18,2040,126
160,autoland,firefox,EKo8ndULREC7Z4Vf4imMqw,75513,1546661663,push,33.57,3.46,529,88
161,autoland,firefox,QKXLZDOASdeJc-qQVv1T8g,75514,1546677268,push,77.37,4.61,2258,148
162,autoland,firefox,b39F9TXEQYSJ_wCpTF_1yg,75515,1546686279,push,64.74,3.58,2002,91
163,autoland,firefox,FkHktZH0S46mN6BvYoymSw,75516,1546689763,push,17.09,2.67,283,60
164,autoland,firefox,OK38hbW_QdGSnVuyuW7uiw,75517,1546689979,push,18.07,2.37,250,26
165,autoland,firefox,YpdQdbRZQJyXMOkIIIOLjA,75518,1546692090,push,17.75,2.9,287,60
166,autoland,firefox,YtG287dGSIK0E96lr94nZA,75519,1546703013,push,75.68,4.07,2256,146
167,autoland,firefox,bJIZm-NPSQqMP_QdeshxxA,75520,1546714684,push,69.08,3.63,2023,93
168,autoland,firefox,CnyVZGVTSu6E6qkVlA-v2A,75521,1546722805,push,66.14,3.74,2006,94
169,autoland,firefox,SoPAe-NvQKm5u-egSdrCAA,75522,1546722964,push,17.32,2.58,249,28
170,autoland,firefox,febgg1IQT-Sqqrf1rBmS3g,75523,1546725328,push,21.7,3.06,314,62
171,autoland,firefox,A3kh5FTCT3eFx4RUdkqjaQ,75524,1546730694,push,62.89,3.36,2005,91
172,autoland,firefox,dIYRunfKQSmmTiMznu-Z6w,75525,1546733856,push,65.24,4.05,2046,129
173,autoland,firefox,RjU1XBITSy2BLBSQe5i-zA,75526,1546768324,push,67.44,4.5,2059,126
174,autoland,firefox,HPuvQ40OR-6FMEn1Lm05QQ,75527,1546811254,push,70.6,3.94,2026,93
175,autoland,firefox,G8TUyHs9R6SwY2wBC6gBXQ,75528,1546825386,push,65.38,4.26,2043,126
176,autoland,firefox,MYshLoCMSC6zPoZGUTa4_g,75529,1546829475,push,67.17,4.1,2050,127
177,autoland,firefox,C1U2sjjBT2SPWEmKTpqaRA,75530,1546830448,push,65.71,4.13,2040,126
178,autoland,firefox,aWyyn589R1KIfP2MnKJagA,75531,1546830511,push,17.15,2.81,284,60
179,autoland,firefox,Xkuh-DGYRRKgEM4U9jH0xg,75532,1546845297,push,66.42,4.43,2044,127
180,autoland,firefox,Qp9cyWqPRF6k9NGm4p53Qg,75533,1546846025,push,16.85,2.26,248,25
181,autoland,firefox,bh1llLJpTJKOMiNV57fsCQ,75534,1546852763,push,66.15,3.65,2005,91
182,autoland,firefox,CkDwpuA0TvObCVgBVEYcWA,75535,1546853440,push,67.61,4.17,2040,126
183,autoland,firefox,CtGINIylSJqC5yxFYCPi7A,75536,1546855215,push,21.28,2.31,265,27
184,autoland,firefox,Unu9NlcGSfOiE_qZqlhmqg,75537,1546855768,push,16.55,2.17,248,26
185,autoland,firefox,UCVLrdppSimCONS55oBn2g,75538,1546858208,push,16.35,2.15,247,25
186,autoland,firefox,GUC3P6TVQj2Nc_y8fbx2Jw,75539,1546858873,push,22.54,3.18,310,66
187,autoland,firefox,PT8sDDcxRqm-MZ_HaSaR1Q,75540,1546859686,push,64.01,3.59,2011,91
188,autoland,firefox,NB9fyqTzSBS-lLqsLDYp3w,75541,1546859759,push,24.5,4.65,333,89
189,autoland,firefox,N70QtjETR_WzFTGZBQ8TBA,75542,1546860559,push,23.08,3.36,305,63
190,autoland,firefox,bMj2z18UTZKbRlcSvS1nhQ,75543,1546861785,push,16.79,2.14,245,25
191,autoland,firefox,Yzw7as7jRJGo64BjKHIxiw,75544,1546863769,push,8.92,0.21,81,10
192,autoland,firefox,FXVhjCdwQ9yr1AjG6ReK3w,75545,1546864263,push,65.04,3.58,2002,91
193,autoland,firefox,DEP1hnzXTPy1UBoG9Sx8kw,75546,1546864418,push,17.66,2.72,283,60
194,autoland,firefox,booCnSHGQeO4NcqLtRIsLg,75547,1546864609,push,17.25,2.71,283,60
195,autoland,firefox,GPvXwqhySaiSMM4SknE1OQ,75548,1546865023,push,19.01,2.47,248,25
196,autoland,firefox,RP5CHC78RpyFsci_21TJVg,75549,1546865311,push,18.34,2.49,248,28
197,autoland,firefox,KNK4CIxbT3KVaHcxCYdAwg,75551,1546871700,push,65.16,3.51,2008,91
198,autoland,firefox,VQSknCMzTEqAKwhpYqtbRQ,75552,1546874377,push,3.03,0.0,60,7
199,autoland,firefox,AdCKJck3RzG7au-lYTVpWA,75553,1546874536,push,16.65,2.13,248,25
200,autoland,firefox,Y6xm8h_YSaWmOnM7iHOfJA,75554,1546876014,push,16.89,2.17,245,25
201,autoland,firefox,HUcZeY8TT_2pKoPl8bRxkA,75555,1546876891,push,65.24,3.49,2003,91
202,autoland,firefox,POxLHP1KSDyvx3duMGl7VA,75556,1546876947,push,33.08,3.13,519,82
203,autoland,firefox,Gcwon2WMR7WyhznY7wst0A,75557,1546877265,push,2.0,0.0,32,5
204,autoland,firefox,I3rLNAZwSE2Uyco1b5ks_w,75558,1546878727,push,17.25,2.53,292,60
205,autoland,firefox,DheuMi3wRMSa0RX5RX1pFA,75559,1546879042,push,16.8,2.23,249,25
206,autoland,firefox,MFYwpaYDSV--0paB8KmO2A,75560,1546879736,push,71.08,3.76,2045,93
207,autoland,firefox,fYvIT-3cQTWfW8TOdv2E5g,75561,1546880810,push,17.19,2.24,248,25
208,autoland,firefox,UdNg5Pj2RMGgQFDvDfT2xQ,75562,1546881242,push,17.2,2.68,283,60
209,autoland,firefox,d_NOl_XETqOSONFivB5z9w,75563,1546881623,push,17.26,2.59,283,60
210,autoland,firefox,JMH-CcEwQ7WMr6Yp_cDotg,75565,1546882967,push,64.81,3.41,2019,92
211,autoland,firefox,TopkZ5OSTLiwps20BCALfg,75566,1546883242,push,17.87,2.78,298,64
212,autoland,firefox,TUdMqLJeTnCgzAT-qTaWmw,75567,1546883920,push,16.84,2.73,284,60
213,autoland,firefox,cFNtPO7jSL24b7l4OJ5RXQ,75568,1546886411,push,16.77,2.29,248,27
214,autoland,firefox,VSZOybhqTGqlIIK6_XOUJw,75569,1546886488,push,16.68,2.35,257,27
215,autoland,firefox,B5NHOsxCRQ2crt0Y7jEDgA,75570,1546886936,push,65.74,4.17,2049,126
216,autoland,firefox,Naw99Ii3T7a99iy-0MN8DQ,75571,1546886973,push,18.53,2.95,305,62
217,autoland,firefox,SGGSABEjRN6gLE09drzK3Q,75572,1546887037,push,18.85,2.63,248,25
218,autoland,firefox,cDqoO3WdT9CwJWskEV6hpw,75573,1546887072,push,16.88,2.41,248,25
219,autoland,firefox,T9_0QF9tTIqTSMHZ3t5xew,75574,1546888770,push,15.62,2.18,248,25
220,autoland,firefox,WBMXAoX5TjW9YEew0wRqFw,75575,1546889679,push,64.73,3.55,2022,91
221,autoland,firefox,WdztGWK6QImoQsQiI85c8Q,75576,1546890007,push,17.32,2.92,289,62
222,autoland,firefox,YuncYQ40TO6Lb9MyXlDkVw,75577,1546891562,push,5.81,0.55,116,42
223,autoland,firefox,ckqRIWjRS3iSV7KoRJxyPw,75578,1546892409,push,17.61,2.8,295,60
224,autoland,firefox,FMY6HCfVQz6Ph7oS3NJcOw,75579,1546892966,push,19.82,3.19,301,61
225,autoland,firefox,YrnXLf4mQFCuSOqWwciBHQ,75580,1546893573,push,68.1,4.42,2095,130
226,autoland,firefox,A08gxjSiQBilmgNik5qSIA,75581,1546893624,push,18.25,2.9,289,63
227,autoland,firefox,TSwi1gRrT7aIoSyMYu0rBw,75582,1546893971,push,18.72,2.77,246,26
228,autoland,firefox,AVqXXt2dTuiJ9QNgrlrTvQ,75583,1546894743,push,21.22,2.34,275,30
229,autoland,firefox,cIxufLF9RoGscSG6JyosvA,75584,1546896797,push,16.75,2.28,250,27
230,autoland,firefox,bfA5GZ9qQfmqSbuaikzEEg,75585,1546896836,push,65.3,3.77,2014,96
231,autoland,firefox,ZMufYULvTKqcT8pfXDLXnQ,75586,1546897304,push,18.52,2.84,287,61
232,autoland,firefox,DDqGbestQ0yGhk3PDOk8Qw,75587,1546897779,push,32.95,2.94,532,88
233,autoland,firefox,O-pkdgfkSweXDU0IDZ-3qg,75588,1546898343,push,5.42,0.53,105,42
234,autoland,firefox,MgpJoZK7TlOofz4FsxTGsg,75589,1546898829,push,19.39,2.73,252,26
235,autoland,firefox,RUC_wF8eTN-61iHUidFCkA,75590,1546898978,push,68.27,4.84,2068,139
236,autoland,firefox,HWEZA9P3QoGHlokWamEe-A,75591,1546899296,push,19.09,2.97,284,60
237,autoland,firefox,P8JEwlXZT52AAgxOE8gCCg,75592,1546899645,push,18.68,2.96,286,60
